ts,low,high,open,close,volume,close_pc,ema12,ema26,rsi14,macd,signal,obv,obv_pc
2020-03-12,3857.12,6189.25,6188.13,3968.4,3365.90922553,0.0,3968.4,3968.4,50.0,0.0,0.0,3365.90922553,0.0
2020-03-13,3300.0,5050.0,3968.41,4689.15,5820.99151814,18.16,4079.2846153846153,4021.788888888889,50.0,57.49572649572656,11.499145299145312,9186.900743670001,172.94
2020-03-14,4114.23,4683.74,4635.05,4222.33,2055.35462784,-9.96,4101.291597633136,4036.64378600823,50.0,64.6478116249059,22.12887856429743,7131.546115830001,-22.37
2020-03-15,4171.01,4849.0,4250.16,4337.96,2043.61069635,2.74,4137.702121074191,4058.963505563176,50.0,78.73861551101527,33.450825953641,9175.156812180001,28.66
2020-03-16,3720.0,4371.0,4338.06,4124.33,3763.62101758,-4.92,4135.6448716781615,4063.805468114052,50.0,71.83940356410949,41.1285414757347,5411.5357946,-41.02
2020-03-17,4046.75,4625.99,4118.96,4434.22,2017.29110897,7.51,4181.579506804598,4091.2435815870854,50.0,90.3359252175128,50.970018224090325,7428.8269035700005,37.28
2020-03-18,4204.32,4672.9,4436.85,4647.73,1599.6367226,4.82,4253.294967296199,4132.46479776582,50.0,120.83016953037895,64.94204848534805,9028.46362617,21.53
2020-03-19,4571.0,5650.0,4647.73,5401.55,3444.07181045,16.22,4429.949587712168,4226.471109042425,50.0,203.4784786697428,92.64933452222701,12472.53543662,38.15
2020-03-20,4860.0,5994.66,5401.55,5355.35,3091.91233214,-0.86,4572.318881910296,4310.091767631875,50.0,262.22711427842114,126.56489047346584,9380.62310448,-24.79
2020-03-21,5076.0,5598.69,5358.1,5344.95,1051.71764944,-0.19,4691.185207770251,4386.747932992477,50.0,304.4372747777734,162.13936733432735,8328.90545504,-11.21
2020-03-22,4985.0,5530.37,5358.99,5036.13,1037.5887945,-5.78,4744.253637344058,4434.850308326368,50.0,309.40332901769034,191.59215967099996,7291.31666054,-12.46
2020-03-23,4930.99,5700.0,5030.69,5623.57,1532.47489331,11.66,4879.533077752664,4522.903618820711,50.0,356.6294589319532,224.5996195231906,8823.79155385,21.02
2020-03-24,5514.78,5908.0,5605.07,5747.66,1415.19967821,2.21,5013.091065790715,4613.626313722881,50.0,399.4647520678345,259.5726460321194,10238.99123206,16.04
2020-03-25,5461.02,5870.93,5753.5,5668.66,1337.81698896,-1.37,5113.947824899836,4691.776957150815,50.0,422.17086774902054,292.0922903754996,8901.1742431,-13.07
2020-03-26,5466.14,5748.29,5673.0,5563.51,827.76429164,-1.85,5183.111236453707,4756.3497751396435,68.80951432294516,426.7614613140631,319.0261245632123,8073.40995146,-9.3
2020-03-27,5051.01,5649.0,5554.05,5131.32,963.88349125,-7.77,5175.143353922367,4784.125347351522,57.50602161624157,391.0180065708455,333.42450096473897,7109.526460210001,-11.94
2020-03-28,4862.01,5300.0,5125.05,5038.33,1443.98939882,-1.81,5154.095145626618,4802.955321621779,55.39739480384399,351.1398240048393,336.96756557275904,5665.53706139,-20.31
2020-03-29,4730.0,5060.71,5038.02,4738.21,902.27885711,-5.96,5090.112815530216,4798.159371872018,49.13525206038148,291.953443658198,327.96474118984685,4763.25820428,-15.93
2020-03-30,4712.0,5341.0,4733.52,5169.66,1066.0782522,9.11,5102.350843910182,4825.677936918535,56.71108725697266,276.6729069916473,317.70637435020694,5829.33645648,22.38
2020-03-31,5144.09,5298.0,5170.29,5195.13,586.49767354,0.49,5116.624560231692,4853.044756406051,57.117138212798494,263.57980382564074,306.8810602452937,6415.834130020001,10.06
2020-04-01,4975.0,5396.45,5196.6,5370.62,948.47392382,3.38,5155.700781734509,4891.3836633389365,59.90758766397418,264.31711839557283,298.3682718753496,7364.308053840001,14.78
2020-04-02,5245.55,5850.0,5369.0,5502.43,1791.98765458,2.45,5209.043738390739,4936.646354943459,61.91231646108394,272.39738344727994,293.1740941897357,9156.29570842,24.33
2020-04-03,5426.71,5749.0,5494.14,5500.99,1004.05530761,-0.03,5253.958547869088,4978.449587910611,61.87591541259775,275.50895995847713,289.641067343484,8152.24040081,-10.97
2020-04-04,5452.0,5691.72,5494.39,5597.99,805.70110687,1.76,5306.886463581535,5024.3414702876025,63.435436179303736,282.54499329393275,288.2218525335738,8957.94150768,9.88
2020-04-05,5469.0,5616.17,5597.99,5563.7,651.52863133,-0.61,5346.396238415145,5064.293953970003,62.46270472854533,282.1022844451418,286.9979389158874,8306.41287635,-7.27
2020-04-06,5550.7,6010.0,5557.26,6009.31,1674.41312076,8.01,5448.382970966662,5134.295142564818,69.09497547155642,314.0878284018436,292.41591681307864,9980.82599711,20.16
2020-04-07,5732.0,6090.0,6008.24,5848.0,1424.82094953,-2.68,5509.862513894867,5187.162169041499,64.64243357971017,322.70034485336873,298.4728024211367,8556.00504758,-14.28
2020-04-08,5806.58,6030.0,5849.97,5933.66,717.5469138,1.46,5575.06212714181,5242.458304668055,65.89912467115887,332.6038224737558,305.29900643166053,9273.55196138,8.39
2020-04-09,5755.93,5958.0,5933.01,5855.19,747.08217425,-1.32,5618.158722966147,5287.845837655606,63.66673991316664,330.3128853105409,310.30178220743664,8526.469787130001,-8.06
2020-04-10,5418.63,5870.0,5855.19,5523.55,1294.12785412,-5.66,5603.60353481751,5305.305405236672,55.16172331552326,298.29812958083767,307.9010516821169,7232.341933010001,-15.18
2020-04-11,5450.0,5597.36,5517.69,5534.95,557.33711246,0.21,5593.041452537893,5322.316115959882,55.382367104837265,270.7253365780107,300.46590866129566,7789.679045470001,7.71
2020-04-12,5468.0,5800.96,5538.06,5550.0,767.8790098,0.27,5586.4196906089865,5339.181588851743,55.69235008016905,247.23810175724338,289.8203472804852,8557.558055270001,9.86
2020-04-13,5303.0,5555.0,5555.0,5488.32,1144.44643865,-1.11,5571.327430515295,5350.228878566429,54.03542661028699,221.09855194886677,276.0759882141615,7413.111616620001,-13.37
2020-04-14,5405.0,5550.0,5492.34,5452.15,524.54971176,-0.66,5552.9924412052505,5357.778591265212,53.03889698065364,195.21384994003893,259.903560559337,6888.561904860001,-7.08
2020-04-15,5288.66,5521.94,5452.15,5299.33,641.11696753,-2.8,5513.967450250597,5353.449065986307,48.93280989010868,160.51838426429003,240.02652530032762,6247.444937330001,-9.31
2020-04-16,5187.4,5769.0,5299.33,5683.68,1096.1421753,7.25,5540.077073288967,5377.910616653988,57.78468167406303,162.1664566349791,224.45451156725792,7343.587112630001,17.55
2020-04-17,5615.0,5748.99,5686.41,5639.08,572.75609487,-0.78,5555.308292782972,5397.25649690184,56.55952518628977,158.0517958811315,211.17396843003266,6770.831017760001,-7.8
2020-04-18,5635.78,5849.0,5639.08,5818.47,614.88186478,3.18,5595.794709277899,5428.457497131333,60.21347750012544,167.33721214656543,202.4066171733392,7385.7128825400005,9.08
2020-04-19,5671.0,5828.0,5821.0,5722.65,403.01360171,-1.65,5615.3109078505295,5450.249534380864,57.434507654747875,165.06137346966534,194.93756843260445,6982.69928083,-5.46
2020-04-20,5460.01,5799.0,5722.65,5511.6,1112.44353499,-3.69,5599.355383565832,5454.794013315614,51.767413073876995,144.5613702502178,184.86232879612714,5870.255745840001,-15.93
2020-04-21,5501.07,5670.99,5511.59,5586.39,616.84290661,1.36,5597.360709171089,5464.541864181124,53.51773409719625,132.81884498996533,174.45363203489478,6487.09865245,10.51
2020-04-22,5574.0,5822.0,5581.06,5789.76,749.05816487,3.64,5626.960600067844,5488.632096464004,57.982841141975356,138.32850360384055,167.22860634868394,7236.15681732,11.55
2020-04-23,5706.01,6250.0,5790.45,6061.0,1653.35563499,4.68,5693.735892365099,5531.029718948151,63.0772124533589,162.70617341694833,166.3241197623368,8889.51245231,22.85
2020-04-24,6000.0,6194.64,6063.33,6080.0,856.46591652,0.31,5753.161139693545,5571.694184211251,63.4118608771157,181.466955482294,169.35268690632824,9745.97836883,9.63
2020-04-25,6035.0,6232.66,6076.37,6120.7,552.21728074,0.67,5809.705579740692,5612.361281677084,64.16119128942023,197.34429806360822,174.95100913778424,10298.19564957,5.67
2020-04-26,6097.0,6248.0,6120.06,6235.0,757.18740053,1.87,5875.1354905498165,5658.482668219523,66.25156157977874,216.65282233029393,183.2913717762862,11055.3830501,7.35
2020-04-27,6159.0,6307.77,6234.13,6279.0,806.65425833,0.71,5937.268492003691,5704.446915018077,67.0483409372168,232.82157698561423,193.1974128181518,11862.037308429999,7.3
2020-04-28,6190.0,6280.0,6278.26,6258.32,920.46481148,-0.33,5986.661031695431,5745.474550942663,66.25657661907582,241.18648075276815,202.79522640507508,10941.572496949999,-7.76
2020-04-29,6210.0,7240.0,6254.14,7069.87,3315.26740001,12.97,6153.3085652807495,5843.577917539503,77.49035697981277,309.7306477412467,224.1823106723094,14256.839896959998,30.3
2020-04-30,6688.0,7609.98,7059.11,6874.64,4163.37794504,-2.76,6264.282632160634,5919.95288661065,71.33758075599506,344.3297455499842,248.21179764784438,10093.461951919999,-29.2
2020-05-01,6873.77,7250.0,6874.34,7077.56,1378.26920235,2.95,6389.402227212844,6005.701561676528,73.67706810664934,383.7006655363157,275.30957122553866,11471.731154269999,13.66
2020-05-02,7028.73,7220.0,7071.27,7193.03,1002.58004022,1.63,6513.0372691800985,6093.651816367156,74.93099976476392,419.3854528129423,304.1247475430194,12474.31119449,8.74
2020-05-03,7013.64,7369.38,7200.0,7169.94,1578.06594028,-0.32,6614.099227767776,6173.3768670066265,74.17013386511692,440.7223607611495,331.44427018664544,10896.24525421,-12.65
2020-05-04,6870.02,7210.99,7169.94,7149.22,1236.62559895,-0.29,6696.425500418887,6245.661543524654,73.44938287787862,450.76395689423316,355.308207528163,9659.61965526,-11.35
2020-05-05,7074.01,7325.0,7145.0,7272.79,1176.4650768,1.73,6785.096961892905,6321.745132893198,75.00910074039047,463.3518289997064,376.9169318224717,10836.084732059999,12.18
2020-05-06,7190.0,7649.94,7268.57,7458.13,1915.96311789,2.55,6888.640506217073,6405.921789715924,77.1749305595669,482.7187165011492,398.0772887582072,12752.047849949999,17.68
2020-05-07,7351.0,8150.0,7450.3,8107.82,2870.76673885,8.71,7076.206582183677,6531.988323811041,82.80160776765955,544.2182583726362,427.30548268109305,15622.814588799998,22.51
2020-05-08,7886.0,8123.0,8095.14,7927.35,1635.23342639,-2.23,7207.151723386189,6635.348447973185,77.11489021952282,571.8032754130036,456.2050412274752,13987.581162409999,-10.47
2020-05-09,7690.0,8016.12,7918.03,7704.97,1518.4062688,-2.81,7283.739150557544,6714.579674049245,70.67383615399096,569.1594765082991,478.79592828363997,12469.17489361,-10.86
2020-05-10,6608.0,7731.99,7704.53,7054.0,3986.08957465,-8.45,7248.394665856384,6739.721920415967,55.94334943693812,508.6727454404163,484.77129171499524,8483.085318959998,-31.97
2020-05-11,6672.01,7538.65,7050.0,6970.13,2970.55444337,-1.19,7205.584717263095,6756.78918557034,54.37097524728379,448.7955316927546,477.5761397105471,5512.530875589999,-35.02
2020-05-12,6944.02,7329.45,6964.0,7210.0,1143.58095157,3.44,7206.263991530311,6790.360357009574,58.006318063177,415.9036345207369,465.2416386725851,6656.111827159999,20.75
2020-05-13,7201.17,7699.73,7202.85,7630.0,1523.2800606,5.83,7271.454146679494,6852.555886119976,63.49111763284945,418.89826055951835,455.9729630499718,8179.391887759999,22.89
2020-05-14,7523.0,8150.0,7626.87,7988.49,2556.65553978,4.7,7381.76735488265,6936.699153814792,67.40445663243682,445.06820106785744,453.7920106535489,10736.04742754,31.26
2020-05-15,7550.0,8028.75,7981.69,7689.49,1722.53265446,-3.74,7429.1093002853195,6992.461438717401,61.48481234434868,436.6478615679189,450.3631808364229,9013.51477308,-16.04
2020-05-16,7617.29,7893.01,7695.99,7759.88,801.20897956,0.92,7479.997100241424,7049.307258071667,62.323692255753926,430.68984216975696,446.42851310308976,9814.72375264,8.89
2020-05-17,7716.0,8099.97,7759.88,7984.62,1406.04836909,2.9,7557.631392511974,7118.589683399691,64.94867420065415,439.04170911228266,444.95115230492837,11220.77212173,14.33
2020-05-18,7838.0,8120.0,7984.62,7989.77,1311.73670342,0.06,7624.114255202439,7183.1215587034185,65.00883698100742,440.9926964990209,444.1594611437469,12532.50882515,11.69
2020-05-19,7779.01,8080.5,7989.77,7996.03,1292.22625138,0.08,7681.332062094372,7243.336998799461,65.08728083297389,437.99506329491123,442.9265815739798,13824.73507653,10.31
2020-05-20,7657.06,8034.0,7987.95,7794.61,1515.27278141,-2.52,7698.759437156777,7284.172035925427,60.39569707789048,414.58740123134976,437.2587455054538,12309.46229512,-10.96
2020-05-21,7201.0,7851.52,7786.48,7432.68,2070.71617002,-4.64,7657.824139132657,7295.172625856877,53.00258826824782,362.6515132757804,422.3372990595192,10238.7461251,-16.82
2020-05-22,7333.0,7641.99,7424.64,7558.59,1076.79099424,1.69,7642.5573484968645,7314.685023941553,55.063415045134064,327.87232455531193,403.4443041586777,11315.53711934,10.52
2020-05-23,7493.58,7674.0,7549.56,7557.94,519.17473246,-0.01,7629.539294881963,7332.703911056993,55.04999473211439,296.83538382496954,382.1225200919361,10796.36238688,-4.59
2020-05-24,7151.01,7663.0,7555.2,7174.0,889.99356194,-5.08,7559.456326438583,7320.948065793513,47.66082348322883,238.50826064507055,353.399668202563,9906.36882494,-8.24
2020-05-25,7114.5,7380.0,7172.41,7309.56,974.49063431,1.89,7521.010737755724,7320.104505364364,50.20238082523642,200.9062323913604,322.9009810403225,10880.85945925,9.84
2020-05-26,7070.0,7364.0,7310.54,7190.42,851.39280242,-1.63,7470.150624254844,7310.498245707744,47.99644527382086,159.65237854709994,290.251260541678,10029.46665683,-7.82
2020-05-27,7168.86,7568.0,7183.9,7520.0,978.26269992,4.58,7477.819758984868,7326.0168941738375,54.01598556730447,151.8028648110303,262.56158139554844,11007.72935675,9.75
2020-05-28,7439.46,7814.0,7513.75,7773.17,973.27510446,3.37,7523.258257602581,7359.1393464572575,58.03444291518845,164.11891114532318,242.8730473455034,11981.00446121,8.84
2020-05-29,7542.44,7799.31,7781.33,7650.14,888.76749552,-1.58,7542.778525663723,7380.694950423386,55.4963899595858,162.08357524033636,226.71515292447003,11092.23696569,-7.42
2020-05-30,7566.0,7869.89,7646.14,7843.41,812.79532147,2.53,7589.029521715457,7414.970139280913,58.562229007552716,174.0593824345442,216.18399882648487,11905.032287159998,7.33
2020-05-31,7620.0,7842.97,7842.97,7664.57,655.66607171,-2.28,7600.651133759233,7433.459017852697,54.80020801409282,167.19211590653595,206.38562224249512,11249.366215449998,-5.51
2020-06-01,7619.73,8300.0,7663.58,8163.56,1688.35529624,6.51,7687.252497796275,7487.540572085831,62.113317269928835,199.71192571044412,205.05088293608492,12937.721511689997,15.01
2020-06-02,7440.0,8180.0,8171.26,7591.41,2567.13549693,-7.01,7672.507498135309,7495.234603783177,51.770264254430515,177.27289435213243,199.49528521929443,10370.586014759996,-19.84
2020-06-03,7489.26,7700.0,7589.46,7700.0,848.80083685,1.43,7676.7371138068,7510.402410910349,53.35774398673811,166.33470289645084,192.86316875472573,11219.386851609996,8.18
2020-06-04,7565.0,7849.99,7700.0,7767.14,1001.60538068,0.87,7690.645250144215,7529.420010102175,54.358051815208015,161.22524004204024,186.53558301218865,12220.992232289995,8.93
2020-06-05,7613.45,7824.0,7767.6,7620.0,893.81767726,-1.89,7679.776750122029,7536.129638983495,51.739217209374665,143.64711113853355,177.95788863745764,11327.174555029995,-7.31
